code,name,regional_name,periphery_cluster,socio_cluster,socio_cluster_local,is_eligible
1126,אילות,חבל אילות,1,5,5,True
21,באר אורה,חבל אילות,1,5,5,True
2600,אילת,,1,6,,True
1248,אליפז,חבל אילות,1,5,5,True
1156,סמר,חבל אילות,1,5,5,True
866,יטבתה,חבל אילות,1,5,5,True
1266,שחרות,חבל אילות,1,5,5,True
1129,גרופית,חבל אילות,1,5,5,True
1052,קטורה,חבל אילות,1,5,5,True
1255,לוטן,חבל אילות,1,5,5,True
1158,יהל,חבל אילות,1,5,5,True
1279,נווה חריף,חבל אילות,1,,,True
1197,נאות סמדר,חבל אילות,1,5,5,True
1151,פארן,הערבה התיכונה,1,7,7,True
1262,צוקים,הערבה התיכונה,1,7,7,True
1150,צופר,הערבה התיכונה,1,7,7,True
1176,ספיר,הערבה התיכונה,2,7,7,True
806,עין יהב,הערבה התיכונה,2,7,7,True
13,חצבה,הערבה התיכונה,2,7,7,True
1175,עידן,הערבה התיכונה,2,7,7,True
328,עזוז,רמת נגב,2,,,True
4303,"נווה אטי""ב",גולן,2,6,6,True
4502,עין קנייא,,2,3,,True
1124,נאות הכיכר,תמר,2,7,7,True
4201,מג'דל שמס,,2,3,,True
99,מצפה רמון,,2,3,,True
1251,עין תמר,תמר,2,7,7,True
4010,אודם,גולן,2,6,6,True
4501,ע'ג'ר,,2,3,,True
4001,בוקעאתא,,2,3,,True
4203,מסעדה,,2,3,,True
4003,אל -רום,גולן,2,6,6,True
1280,ניצני סיני,רמת נגב,2,6,6,True
1278,באר מילכה,רמת נגב,2,6,6,True
1132,שניר,הגליל העליון,2,7,7,True
378,משגב עם,הגליל העליון,2,7,7,True
1195,ניצנה (קהילת חינוך),רמת נגב,2,6,6,True
1291,כמהין,רמת נגב,2,6,6,True
4101,מרום גולן,גולן,2,6,6,True
43,מטולה,,2,7,,True
843,מרגליות,מבואות החרמון,2,7,7,True
303,דן,הגליל העליון,2,7,7,True
347,מנרה,הגליל העליון,2,7,7,True
4017,אלוני הבשן,גולן,2,6,6,True
4009,שעל,גולן,2,6,6,True
416,מעיין ברוך,הגליל העליון,2,7,7,True
302,דפנה,הגליל העליון,2,7,7,True
4503,עין זיוון,גולן,2,6,6,True
356,הגושרים,הגליל העליון,2,7,7,True
324,שאר ישוב,מבואות החרמון,2,7,7,True
4013,אורטל,גולן,2,6,6,True
345,כפר סאלד,הגליל העליון,2,7,7,True
2009,יובל,מבואות החרמון,2,7,7,True
4024,קלע,גולן,2,6,6,True
366,שמיר,הגליל העליון,2,7,7,True
322,בית הלל,מבואות החרמון,2,7,7,True
4007,יונתן,גולן,2,6,6,True
329,שדה נחמיה,הגליל העליון,2,7,7,True
76,כפר גלעדי,הגליל העליון,2,7,7,True
4006,קשת,גולן,2,6,6,True
319,עמיר,הגליל העליון,2,7,7,True
408,נאות מרדכי,הגליל העליון,2,7,7,True
4014,נטור,גולן,2,6,6,True
357,כפר בלום,הגליל העליון,2,7,7,True
453,יפתח,הגליל העליון,2,7,7,True
4012,אניעם,גולן,2,6,6,True
380,להבות הבשן,הגליל העליון,2,7,7,True
852,גונן,הגליל העליון,2,7,7,True
1057,נווה זוהר,תמר,2,,,True
4025,קדמת צבי,גולן,2,6,6,True
2800,קריית שמונה,,2,5,,True
1140,מדרשת בן גוריון,רמת נגב,2,6,6,True
4100,קצרין,,2,5,,True
2063,דישון,מבואות החרמון,2,7,7,True
372,רמות נפתלי,מבואות החרמון,2,7,7,True
4005,חספין,גולן,2,6,6,True
4701,רמת מגשימים,גולן,2,6,6,True
596,מלכייה,הגליל העליון,2,7,7,True
4304,נוב,גולן,2,6,6,True
1340,מרחב עם,רמת נגב,2,6,6,True
4028,כנף,גולן,2,6,6,True
4011,אבני איתן,גולן,2,6,6,True
885,שדה בוקר,רמת נגב,2,6,6,True
4002,אלי-עד,גולן,2,6,6,True
4022,גשור,גולן,2,6,6,True
253,חולתה,הגליל העליון,2,7,7,True
1115,אביבים,מרום הגליל,2,5,5,True
4019,מיצר,גולן,2,6,6,True
4021,גבעת יואב,גולן,2,6,6,True
4015,בני יהודה,גולן,2,6,6,True
29,יסוד המעלה,,2,7,,True
4551,נאות גולן,גולן,2,6,6,True
1152,אשלים,רמת נגב,2,6,6,True
4008,מעלה גמלא,גולן,2,6,6,True
4301,אפיק,גולן,2,6,6,True
623,יראון,הגליל העליון,2,7,7,True
1260,רתמים,רמת נגב,2,6,6,True
861,שדה אליעזר,מבואות החרמון,2,7,7,True
1348,ביר הדאג',נווה מדבר,2,1,1,True
35,גדות,הגליל העליון,2,7,7,True
354,רביבים,רמת נגב,2,6,6,True
688,עלמה,מרום הגליל,2,5,5,True
4702,רמות,גולן,2,6,6,True
4026,חד-נס,גולן,2,6,6,True
1341,רוח מדבר,רמת נגב,,,,False
